,ANIMAL,COMMUNIT,AGE,SEX,TOTADROP,OV,OVEGG,MIF,MIFEGG,SM,SMEGG,HW,HWEGG,TT,TTEGG,AL,ALEGG,EN,ENEGG,ECH,ECHEGG,DICRO,DICROEGG,EURY,EURYEGG,GNATHO,TN,STRONGY,FASCIOL
0,dog,Khone,2.0,female,10,yes,1.0,no,,no,,no,,yes,1.0,no,,no,,no,,no,,no,,,no,no,
1,dog,Khone,7.0,male,10,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,,no,no,
2,dog,Khone,1.0,male,10,no,,no,,no,,yes,58.0,no,,no,,no,,no,,no,,no,,,no,no,
3,dog,Khone,2.0,male,10,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,,no,no,
4,dog,Khone,5.0,male,10,yes,2.0,yes,2.0,yes,3.0,yes,5.0,no,,no,,no,,yes,15.0,no,,no,,,no,no,
5,dog,Khone,24.0,female,10,yes,23.0,no,,yes,2.0,no,,no,,no,,no,,no,,no,,no,,,no,no,
6,dog,Khone,,female,10,no,,no,,no,,yes,5.0,no,,no,,no,,yes,3165.0,no,,no,,,no,no,
7,dog,Khone,24.0,male,15,no,,no,,no,,yes,17.0,no,,no,,no,,no,,no,,no,,,no,no,
8,dog,Khone,,female,15,no,,no,,yes,2.0,yes,2.0,no,,no,,no,,no,,no,,no,,,no,no,
9,dog,Khone,24.0,female,15,no,,no,,no,,yes,9.0,no,,no,,no,,no,,no,,no,,,no,no,
10,dog,Khone,24.0,female,10,yes,5.0,no,,no,,no,,no,,no,,no,,yes,2854.0,no,,no,,,no,no,
11,dog,Khone,24.0,female,10,no,,no,,no,,yes,2.0,no,,no,,no,,yes,1255.0,no,,no,,,no,no,
12,dog,Khone,48.0,male,15,no,,no,,no,,yes,2.0,yes,2.0,no,,no,,no,,no,,no,,,no,no,
13,dog,Khone,24.0,female,5,no,,no,,no,,yes,5.0,no,,no,,no,,yes,985.0,no,,no,,,no,no,
14,dog,Khone,24.0,male,3,no,,no,,no,,yes,7.0,no,,no,,no,,no,,no,,no,,,no,no,
15,dog,Khone,12.0,male,5,no,,no,,yes,1.0,yes,12.0,no,,no,,no,,no,,no,,no,,,no,no,
16,dog,Khone,60.0,male,5,no,,yes,2.0,no,,no,,no,,no,,no,,yes,450.0,no,,no,,,no,no,
17,dog,Khone,96.0,female,5,no,,yes,3.0,no,,yes,19.0,no,,no,,no,,yes,1258.0,no,,no,,,no,no,
18,dog,Khone,12.0,male,15,no,,no,,no,,no,,no,,no,,no,,yes,2558.0,no,,no,,,no,no,
19,dog,Khone,36.0,female,5,no,,no,,no,,yes,2.0,no,,no,,no,,no,,no,,no,,,no,no,
